item_code,item_description,item_type,total_sales,liquor_type
239702,MONKEY 47 - 1L,LIQUOR,15.85,OTHER
239704,DR STONERS FRESH HERB TEQUILA - 750ML,LIQUOR,1.7,TEQUILA
239704,DR STONERS FRESH HERB TEQUILA - 750ML,LIQUOR,10.54,TEQUILA
239704,DR STONERS FRESH HERB TEQUILA - 750ML,LIQUOR,12.73,TEQUILA
239704,DR STONERS FRESH HERB TEQUILA - 750ML,LIQUOR,7.31,TEQUILA
239704,DR STONERS FRESH HERB TEQUILA - 750ML,LIQUOR,12.22,TEQUILA
239704,DR STONERS FRESH HERB TEQUILA - 750ML,LIQUOR,8.5,TEQUILA
239704,DR STONERS FRESH HERB TEQUILA - 750ML,LIQUOR,7.14,TEQUILA
239704,DR STONERS FRESH HERB TEQUILA - 750ML,LIQUOR,4.25,TEQUILA
239704,DR STONERS FRESH HERB TEQUILA - 750ML,LIQUOR,5.43,TEQUILA
239704,DR STONERS FRESH HERB TEQUILA - 750ML,LIQUOR,9.18,TEQUILA
239704,DR STONERS FRESH HERB TEQUILA - 750ML,LIQUOR,6.29,TEQUILA
239704,DR STONERS FRESH HERB TEQUILA - 750ML,LIQUOR,7.12,TEQUILA
239706,JAMESON BLENDERS DOG WHISKEY - 750ML,LIQUOR,0,WHISKY
239706,JAMESON BLENDERS DOG WHISKEY - 750ML,LIQUOR,0.66,WHISKY
239706,JAMESON BLENDERS DOG WHISKEY - 750ML,LIQUOR,3.3,WHISKY
239706,JAMESON BLENDERS DOG WHISKEY - 750ML,LIQUOR,3.3,WHISKY
239706,JAMESON BLENDERS DOG WHISKEY - 750ML,LIQUOR,0.66,WHISKY
239706,JAMESON BLENDERS DOG WHISKEY - 750ML,LIQUOR,2.32,WHISKY
239706,JAMESON BLENDERS DOG WHISKEY - 750ML,LIQUOR,0.66,WHISKY
239706,JAMESON BLENDERS DOG WHISKEY - 750ML,LIQUOR,1.98,WHISKY
239706,JAMESON BLENDERS DOG WHISKEY - 750ML,LIQUOR,0.33,WHISKY
239706,JAMESON BLENDERS DOG WHISKEY - 750ML,LIQUOR,0.99,WHISKY
239706,JAMESON BLENDERS DOG WHISKEY - 750ML,LIQUOR,0.99,WHISKY
239706,JAMESON BLENDERS DOG WHISKEY - 750ML,LIQUOR,0.66,WHISKY
239706,JAMESON BLENDERS DOG WHISKEY - 750ML,LIQUOR,4.29,WHISKY
239706,JAMESON BLENDERS DOG WHISKEY - 750ML,LIQUOR,0.99,WHISKY
239706,JAMESON BLENDERS DOG WHISKEY - 750ML,LIQUOR,0.33,WHISKY
239710,JAMESON DISTILLER'S SAFE WHISKEY - 750ML,LIQUOR,0.99,WHISKY
239710,JAMESON DISTILLER'S SAFE WHISKEY - 750ML,LIQUOR,2.31,WHISKY
239710,JAMESON DISTILLER'S SAFE WHISKEY - 750ML,LIQUOR,0.66,WHISKY
239710,JAMESON DISTILLER'S SAFE WHISKEY - 750ML,LIQUOR,1.32,WHISKY
239710,JAMESON DISTILLER'S SAFE WHISKEY - 750ML,LIQUOR,0.67,WHISKY
239710,JAMESON DISTILLER'S SAFE WHISKEY - 750ML,LIQUOR,1.33,WHISKY
239710,JAMESON DISTILLER'S SAFE WHISKEY - 750ML,LIQUOR,0,WHISKY
239710,JAMESON DISTILLER'S SAFE WHISKEY - 750ML,LIQUOR,0,WHISKY
239710,JAMESON DISTILLER'S SAFE WHISKEY - 750ML,LIQUOR,1.65,WHISKY
239710,JAMESON DISTILLER'S SAFE WHISKEY - 750ML,LIQUOR,3.63,WHISKY
239710,JAMESON DISTILLER'S SAFE WHISKEY - 750ML,LIQUOR,3.3,WHISKY
